公司名称,股票代码,处罚年份,舞弊类型,公告日期,公告年份
昆明川金诺化工股份有限公司,300505,2015,虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述)、重大遗漏、一般会计处理不当; 虚假记载(误导性陈述)、重大遗漏、一般会计处理不当; 一般会计处理不当、其他,2022/9/24,2022
易见供应链管理股份有限公司,600093,2015,虚构利润、虚假记载(误导性陈述)、重大遗漏,2022/4/20,2022
江苏舜天股份有限公司,600287,2015,虚构利润、虚假记载(误导性陈述)、其他,2023/7/3,2023
江西奇信集团股份有限公司,2781,2015,虚构利润、虚假记载(误导性陈述),2023/4/20,2023
沈阳机床股份有限公司,410,2015,一般会计处理不当; 一般会计处理不当; 一般会计处理不当; 一般会计处理不当、其他; 一般会计处理不当、其他; 一般会计处理不当、其他; 一般会计处理不当、其他; 其他,2021/1/23,2021
海南众合恒峰一号投资管理合伙企业(有限合伙),600818,2015,重大遗漏、其他,2024/1/19,2024
海南海药股份有限公司,566,2015,一般会计处理不当; 一般会计处理不当; 一般会计处理不当; 一般会计处理不当; 重大遗漏,2020/11/10,2020
深圳富裕控股有限公司,2164,2015,虚构利润、其他,2022/3/15,2022
深圳市中恒汇志投资有限公司,600654,2015,虚假记载(误导性陈述)、其他,2022/3/9,2022
深圳市年富供应链有限公司,2164,2015,虚构利润、其他,2022/3/15,2022
深圳市易楚投资管理有限公司,600145,2015,重大遗漏、其他,2022/4/27,2022
深圳市特发信息股份有限公司,70,2015,虚构利润、其他,2024/5/13,2024
湖北国创高新材料股份有限公司,2377,2015,推迟披露、其他,2021/2/10,2021
福建三木集团股份有限公司,632,2015,虚假记载(误导性陈述),2023/12/31,2023
福建省永安林业(集团)股份有限公司,663,2015,虚假记载(误导性陈述),2020/5/8,2020
美尚生态景观股份有限公司,300495,2015,虚构利润、虚假记载(误导性陈述)、推迟披露、重大遗漏、占用公司资产、其他,2023/7/14,2023
诺贝丰(中国)农业有限公司,2470,2015,虚构利润、其他,2022/8/5,2022
贵州益佰制药股份有限公司,600594,2015,推迟披露、一般会计处理不当、未缴或少缴税款(欠税),2021/6/9,2021
赣州森昕股权投资合伙企业(有限合伙),603111,2015,虚构利润,2020/12/31,2020
金正大生态工程集团股份有限公司,2470,2015,虚构利润,2022/1/20,2022
鹏博士电信传媒集团股份有限公司,600804,2015,虚列资产、虚假记载(误导性陈述),2024/3/29,2024
上海中路(集团)有限公司,600818,2016,虚假记载(误导性陈述)、其他,2024/1/19,2024
